row,tweet_id
0,1176
1,1178
2,1181
3,1183
4,1186
5,1189
6,1198
7,1200
8,1202
9,1204
10,1206
11,1208
12,2041
13,3115
14,3117
15,4215
16,1193
17,5854
18,5856
19,7503
20,7506
21,8467
22,8470
23,8472
24,8474
25,8477
26,8478
27,12753
28,19281
29,19284
30,19287
31,19285
32,19291
33,19293
34,19296
35,19297
36,20131
37,20134
38,20860
39,20864
40,20867
41,20871
42,20874
43,20876
44,20870
45,21181
46,21184
47,21185
48,21186
49,21189
50,21190
51,21197
52,21201
53,21202
54,21205
55,21209
56,21210
57,21212
58,21218
59,21221
60,21222
61,21224
62,21648
63,21650
64,21652
65,21661
66,21663
67,21668
68,21671
69,21675
70,21676
71,22672
72,22675
73,22676
74,22681
75,22684
76,22687
77,22689
78,22691
79,22693
80,23311
81,23313
82,23316
83,23322
84,24140
85,24143
86,24146
87,24147
88,24149
89,24155
90,24670
91,24673
92,24675
93,24676
94,25138
95,25141
96,27039
97,27042
98,27045
99,27048
100,27050
101,27053
102,27557
103,27560
104,27561
105,27564
106,27566
107,27568
108,27570
109,27571
110,27575
111,27577
112,27578
113,27579
114,28105
115,28108
116,28110
117,28112
118,28116
119,28119
120,28121
121,28122
122,28125
123,28126
124,28128
125,28565
126,28567
127,28570
128,28571
129,28574
130,28575
131,28577
132,29099
133,29106
134,29111
135,29114
136,29116
137,29119
138,29121
139,29124
140,29127
141,29129
142,29132
143,29709
144,29711
145,29713
146,29715
147,30181
148,30184
149,30186
150,30188
151,30191
152,30192
153,30195
154,30198
155,30200
156,30202
157,30204
158,30206
159,30208
160,30693
161,30697
162,30699
163,31056
164,31058
165,31061
166,31063
167,31065
168,32120
169,32122
170,32125
171,32128
172,32130
173,32132
174,32133
175,32606
176,32609
177,32612
178,32615
179,32611
180,32618
181,32621
182,33616
183,33619
184,34872
185,34874
186,35431
187,35433
188,36281
189,36284
190,36286
191,36288
192,36290
193,36292
194,36901
195,36904
196,36906
197,36909
198,36911
199,36914
200,37870
201,37874
202,37876
203,37878
204,37881
205,37883
206,37886
207,37889
208,38487
209,38490
210,38491
211,38493
212,39151
213,39156
214,39159
215,39161
216,39162
217,39728
218,39730
219,39992
220,39996
221,39997
222,40000
223,40004
224,40006
225,39998
226,40007
227,41094
228,41096
229,41099
230,41101
231,41104
232,41979
233,41981
234,41984
235,42166
236,42169
237,42171
238,42172
239,42174
240,42883
241,42887
242,42890
243,42891
244,42894
245,42896
246,43947
247,43949
248,43952
249,43954
250,43956
251,43958
252,43961
253,44432
254,44436
255,44438
256,44441
257,44444
258,44446
259,44449
260,44451
261,44453
262,45211
263,45214
264,45217
265,45219
266,46052
267,46054
268,46056
269,46261
270,46264
271,46268
272,46286
273,47056
274,47059
275,47954
276,47958
277,47959
278,48792
279,48795
280,48796
281,48801
282,48803
283,48806
284,48808
285,48810
286,48811
287,48813
288,49427
289,49794
290,49797
291,49799
292,50345
293,50347
294,50349
295,50352
296,50354
297,50358
298,50361
299,50364
300,51056
301,51060
302,51061
303,51063
304,51062
305,51065
306,51067
307,51070
308,51935
309,51938
310,51940
311,51941
312,51943
313,51945
314,52605
315,52608
316,52610
317,52612
318,54035
319,54039
320,54041
321,54043
322,54045
323,54046
324,54049
325,54051
326,54737
327,54740
328,54742
329,54743
330,54746
331,54747
332,54749
333,55135
334,55137
335,55142
336,55145
337,55150
338,55146
339,55569
340,55571
341,55576
342,55579
343,55580
344,55583
345,55585
346,56476
347,56479
348,56481
349,56485
350,56488
351,56489
352,56492
353,56495
354,56497
355,56501
356,56503
357,56505
358,56507
359,57824
360,57826
361,57830
362,57833
363,57834
364,58428
365,58431
366,58434
367,58436
368,59207
369,59214
370,59216
371,59909
372,60552
373,60555
374,60557
375,60561
376,60564
377,60567
378,60569
379,60572
380,60575
381,60577
382,61566
383,61568
384,62724
385,62726
386,62728
387,62730
388,62733
389,62735
390,62737
391,63441
392,63444
393,63449
394,63451
395,63453
396,64606
397,64608
398,64611
399,64614
400,64616
401,64618
402,64619
403,64622
404,64625
405,64636
406,64638
407,64640
408,64643
409,64645
410,64648
411,64649
412,64652
413,64654
414,64656
415,64659
416,64661
417,64664
418,64667
419,64668
420,64671
421,66376
422,66379
423,66381
424,66383
425,66385
426,66390
427,66392
428,66394
429,66396
430,66398
431,66400
432,66402
433,66411
434,66413
435,66415
436,67341
437,67345
438,68132
439,68135
440,68137
441,68138
442,68141
443,68143
444,68147
445,68148
446,68151
447,68152
448,68160
449,68163
450,68165
451,68168
452,68173
453,68175
454,68156
455,68178
456,68185
457,68187
458,68192
459,68196
460,68197
461,68199
462,68201
463,68204
464,68205
465,68208
466,70860
467,70862
468,70864
469,70867
470,70869
471,70872
472,70875
473,70878
474,70882
475,70885
476,70887
477,70889
478,70892
479,70894
480,70897
481,70901
482,70903
483,70905
484,70907
485,70910
486,70912
487,70914
488,70916
489,70919
490,70921
491,70925
492,70929
493,70926
494,70931
495,72445
496,72448
497,72451
498,72453
499,72456
500,72458
501,72461
502,72462
503,72464
504,73961
505,73964
506,73966
507,73970
508,73972
509,73974
510,73977
511,73979
512,73981
513,73983
514,73985
515,73989
516,73992
517,73995
518,73997
519,74001
520,74004
521,74006
522,74011
523,74013
524,74015
525,74018
526,75044
527,75047
